date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:49	11220/11220	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Feb%202018%2019:34:11%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture7/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture7/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:49	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2021%20Mar%202018%2003:33:49%20GMT	https://youtu.be/Gy36UqfifH0	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/youtu.be/Gy36UqfifH0.e.delayed	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:49	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:50%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw4	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw4	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:49	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:50%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture8	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture8	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:49	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:50%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture9	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture9	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:50	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:50%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture10	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture10	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:50	12424/12424	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202018%2014:45:15%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw4/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw4/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:50	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:51%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw5	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw5.13.delayed	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:50	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:51%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture11	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture11	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:50	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:51%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture12	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture12	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:51	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:51%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw6	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw6	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:51	9828/9828	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2022:32:29%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture8/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture8/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:51	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:52%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture13	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture13	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:51	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:52%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture14	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture14	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:51	11424/11424	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Mar%202018%2002:31:36%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture9/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture9/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:51	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2021%20Mar%202018%2003:33:52%20GMT	https://youtu.be/lle2ffoTvbE	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/youtu.be/lle2ffoTvbE.19.delayed	(from http://horstmann.com/sjsu/spring2018/cs152/)
